rank,university_name,country
457,Liupanshui Normal University,China
459,Chaohu University,China
460,Hezhou University,China
460,Baotou Teachers' College,China
460,Pingdingshan University,China
463,Nanchang Normal University,China
463,Weinan Normal University,China
465,Ningxia Normal University,China
466,Hunan Institute of Technology,China
467,Anshan Normal University,China
468,Harbin University,China
468,Hubei Engineering University,China
470,Jilin Engineering Normal University,China
471,Langfang Normal University,China
472,Xi'an Aeronautical Institute,China
473,Xinyang Agriculture and Forestry University,China
474,Shanxi Datong University,China
475,Huangshan University,China
475,Jiaying University,China
477,Fujian Polytechnic Normal University,China
478,Sichuan Tourism University,China
478,Xianyang Normal University,China
480,Nanjing Normal University of Special Education,China
480,Suzhou University,China
482,Kaili University,China
483,Hainan Tropical Ocean University,China
483,Jiujiang University,China
485,Shandong Management University,China
486,Yuxi Normal University,China
487,Anyang Institute of Technology,China
487,Xinxiang University,China
489,HeXi University,China
490,Taiyuan Institute of Technology,China
491,Shandong Women's University,China
491,Yili Normal University,China
493,Hebei University of Architecture,China
494,Chifeng University,China
495,Qiongtai Normal University,China
496,Longdong University,China
496,Suzhou City University,China
498,YingKou Institute of Technology,China
499,Daqing Normal University,China
500,North China Institute of Science and Technology,China
500,ABA TEACHERS COLLEGE,China
500,Ankang University,China
500,Anshun University,China
500,Baicheng Normal University,China
500,Baise University,China
500,Baoding University,China
500,Baoshan University,China
500,Bengbu University,China
500,Bozhou University,China
500,Cangzhou Normal University,China
500,Changji University,China
500,Changsha Normal University,China
500,Changzhi University,China
500,Chizhou University,China
500,Chuxiong Normal University,China
500,West Yunnan University,China
500,West Yunnan University of Applied Sciences,China
500,Ordos Institute of Technology,China
500,"East China Institute of Technology, Yangtze River College",China
500,"College of Applied Science, Jiangxi University of Science and Technology",China
500,Gansu Normal University for Nationalities,China
500,Guangxi Science and Technology Normal University,China
500,Guangxi Normal University for Nationalities,China
500,Guangxi Vocational Normal University,China
500,Guilin University of Aerospace Technology,China
500,Guizhou University of Engineering Science,China
500,Handan University,China
500,Hanjiang Normal University,China
500,Hebei University of Environmental Engineering,China
500,Hebei Normal University for Nationalities,China
500,Hebei University of Water Resources and Electric Engineering,China
500,Hechi University,China
500,Jianghuai College of Anhui University,China
500,Heihe University,China
500,Heilongjiang University of Technology,China
500,Henan Institute of Technology,China
500,Henan University of Animal Husbandry and Economy,China
500,Hengshui University,China
500,Hetao University,China
500,Heze University,China
500,Honghe University,China
500,Hulunbuir University,China
500,Jilin Agricultural Science and Technology University,China
500,Jingchu University of Technology,China
